Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results
how to make chai tea starbucks,Informational,90,"0.05,0.00,0.52,0.52,0.52,0.64,0.52,0.64,1.00,0.82,0.82,0.64",18,0.00,0.01,10600000
how to make pumpkin spice chai tea latte,Informational,90,"0.04,0.04,0.43,1.00,0.43,0.22,0.08,0.06,0.04,0.04,0.04,0.04",20,0.00,0.02,3920000
how to make tea indian chai,Informational,90,"0.81,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",23,0.04,0.02,17700000
how to make vanilla chai tea latte,Informational,90,"0.50,0.35,0.63,0.63,0.78,1.00,0.63,0.78,0.78,0.63,0.63,0.50",17,0.00,0.02,12700000
iced chai tea calories,Informational,90,"0.64,0.64,0.52,0.52,0.52,0.41,0.41,0.41,0.41,0.29,0.23,1.00",25,0.00,0.00,11000000
iced chai tea dunkin donuts,Informational,90,"0.79,0.79,0.79,0.50,0.64,0.50,0.50,0.35,0.50,0.64,0.64,1.00",28,0.00,0.01,723000
iced chai tea latte dunkin,Informational,90,"1.00,0.79,0.79,0.64,0.36,0.49,0.36,0.36,0.49,0.79,0.64,0.49",24,0.00,0.00,97
iced chai tea starbucks calories,"Informational, Transactional",90,"0.78,0.78,1.00,0.63,0.63,0.50,0.50,0.63,0.78,0.28,0.63,1.00",29,0.65,0.01,97
is chai tea better than coffee,Informational,90,"0.53,0.53,0.65,0.83,0.53,0.53,0.53,1.00,0.65,0.41,0.24,0.29",15,0.00,0.01,41700000
is chai tea good for a cold,Informational,90,"0.19,0.19,0.24,0.33,0.43,0.53,1.00,0.81,0.66,0.14,0.33,0.33",17,0.00,0.01,53800000
is vanilla chai tea good for you,Informational,90,"0.63,0.50,0.50,0.63,0.78,0.63,0.63,1.00,0.63,0.78,0.63,0.50",29,0.00,0.02,21800000
keurig chai tea latte,"Informational, Transactional",90,"0.00,0.41,0.41,0.29,0.41,0.41,0.64,0.82,1.00,0.52,0.52,0.52",19,0.41,1.00,318000
kilogram tea chai,"Informational, Transactional",90,"0.64,0.64,1.00,1.00,0.64,0.81,0.64,0.81,0.64,0.64,0.64,0.64",18,1.11,0.89,87
monin chai tea,Transactional,90,"0.35,0.50,1.00,1.00,1.00,0.64,0.64,0.64,0.64,0.79,0.79,0.64",17,0.43,1.00,
monin chai tea concentrate,"Informational, Transactional",90,"0.21,0.28,0.78,0.78,0.78,1.00,0.50,0.78,0.50,0.50,0.50,0.50",19,0.55,1.00,97
mystic chai tea sam's club,Navigational,90,"1.00,0.78,0.63,0.63,0.63,0.50,0.50,0.50,0.63,0.06,0.78,0.50",24,0.47,1.00,27
nespresso chai tea latte capsules,Commercial,90,"0.50,0.50,0.64,0.64,0.78,0.78,1.00,0.64,0.50,0.64,0.64,0.50",20,0.35,0.81,90
nespresso chai tea latte pods,"Informational, Commercial",90,"0.49,0.49,0.64,0.64,0.79,0.79,1.00,0.64,0.79,0.79,0.64,0.49",25,0.35,0.81,72
peet's chai tea,"Informational, Transactional",90,"0.82,0.82,0.82,0.82,1.00,0.64,1.00,0.82,0.64,0.09,0.64,0.82",16,0.00,0.00,160000
peet's chai tea latte,Informational,90,"0.81,0.81,0.81,0.81,1.00,0.64,1.00,0.81,0.64,0.08,0.64,0.81",19,0.00,0.00,131000
powder chai tea recipe,Informational,90,"0.00,0.52,0.00,0.64,0.64,0.52,1.00,0.52,1.00,0.82,0.82,0.64",21,0.00,0.04,9200000
publix chai tea,"Informational, Transactional",90,"0.50,0.50,0.64,1.00,0.78,0.78,0.78,0.50,0.50,0.64,0.35,0.64",20,0.31,1.00,140000
pukka tea vanilla chai,"Informational, Transactional",90,"0.29,1.00,0.40,0.40,0.40,0.65,0.65,0.52,0.52,0.00,0.52,0.23",24,0.31,1.00,156000
que es el chai tea,Informational,90,"0.41,0.41,0.64,0.64,0.82,0.52,0.64,0.64,0.41,0.52,1.00,1.00",24,0.00,0.03,61200000
recipe for chai tea mix in a jar,Informational,90,"0.32,0.18,0.23,0.52,0.43,0.82,1.00,0.52,0.32,0.32,0.18,0.23",20,0.00,0.00,6160000
recipe vanilla chai tea,Informational,90,"0.23,0.23,0.33,0.42,0.52,0.52,0.04,0.80,1.00,0.33,0.42,1.00",17,0.00,0.02,16700000
rishi masala chai tea bags,"Informational, Transactional",90,"0.28,0.06,0.06,0.43,1.00,0.65,0.15,0.28,0.15,0.12,0.12,0.12",17,0.70,1.00,40400
scooters chai tea latte,Transactional,90,"0.45,0.45,0.45,0.45,0.82,1.00,1.00,0.82,1.00,1.00,0.82,0.82",16,0.00,0.13,58
spicy chai tea latte mix trader joe's,Informational,90,"0.63,0.78,0.78,0.78,0.78,0.63,0.78,0.63,0.63,0.00,0.63,1.00",20,0.00,0.00,58
starbucks chai tea latte grande calories,Informational,90,"1.00,1.00,1.00,0.82,1.00,0.64,1.00,0.82,0.00,0.00,0.00,0.00",18,0.58,0.03,80
starbucks chai tea pump,Informational,90,"0.52,1.00,0.52,0.52,0.42,0.33,0.42,0.33,0.33,0.42,0.33,0.33",28,0.00,0.46,354000
starbucks iced chai tea calories,"Informational, Transactional",90,"0.52,0.52,0.66,0.42,0.42,0.33,0.33,0.42,0.52,0.19,0.42,1.00",27,0.65,0.01,873000
starbucks iced chai tea nutrition,"Informational, Transactional",90,"0.52,0.52,0.66,0.42,0.42,0.33,0.33,0.42,0.52,0.19,0.42,1.00",25,0.65,0.01,89
starbucks tall chai tea latte calories,Informational,90,"0.63,0.63,0.81,0.63,0.63,0.63,0.63,1.00,0.81,0.81,0.81,0.81",22,0.63,0.04,73
tazo chai decaf tea bags,Commercial,90,"0.19,0.19,0.15,0.34,0.42,1.00,0.53,0.11,0.53,0.34,0.26,0.26",19,0.38,1.00,58
tazo chai tea nutrition,Commercial,90,"0.42,0.17,1.00,1.00,1.00,1.00,1.00,0.83,0.58,0.58,0.58,0.58",25,0.00,0.61,79
tazo chai tea recipe,Informational,90,"0.67,0.67,1.00,1.00,1.00,1.00,1.00,1.00,0.67,1.00,0.67,0.33",15,0.00,0.01,225000
tazo chai tea walmart,"Informational, Transactional",90,"0.62,0.77,0.77,1.00,0.62,0.38,0.23,0.23,0.38,0.62,0.38,0.46",29,0.06,1.00,42100
tazo classic chai tea,"Informational, Transactional",90,"0.35,0.50,0.78,1.00,0.63,0.50,0.50,0.63,0.78,0.50,0.35,0.35",27,0.19,0.89,113000
tazo tea k cups chai,Transactional,90,"1.00,0.66,0.23,0.23,0.23,0.23,0.42,0.42,0.33,0.23,0.23,0.23",15,0.38,0.94,193000
tazo tea vanilla caramel chai,"Informational, Transactional",90,"0.00,0.65,0.00,1.00,1.00,0.52,0.82,0.00,0.40,1.00,0.65,0.00",24,0.22,1.00,88400
the best chai tea,Commercial,90,"0.24,0.24,0.33,0.53,0.43,0.53,1.00,1.00,0.33,0.33,0.24,0.33",21,0.58,1.00,79000000
twinings chai french vanilla tea,"Informational, Transactional",90,"0.26,0.63,0.63,1.00,0.63,0.37,0.79,0.16,0.79,0.11,0.79,0.53",28,0.37,1.00,107000
vahdam chai tea,"Navigational, Transactional",90,"0.23,0.23,0.23,0.42,0.42,0.42,1.00,0.66,0.42,0.52,0.33,0.33",15,0.39,1.00,77
aldi chai tea,"Informational, Commercial",70,"0.44,0.44,0.44,1.00,1.00,0.44,0.62,0.82,0.62,0.44,0.62,0.62",22,0.00,0.89,53
allergic reaction to chai tea,Informational,70,"0.71,0.71,1.00,0.71,1.00,0.71,1.00,0.71,1.00,1.00,0.71,1.00",15,0.00,0.00,60
apple chai tea latte starbucks,Informational,70,"0.06,0.06,0.34,1.00,0.53,0.34,0.15,0.12,0.09,0.09,0.09,0.06",16,0.00,0.10,3270000
apple cider and chai tea,Informational,70,"0.61,0.61,0.61,0.00,1.00,0.61,0.00,0.00,0.82,0.25,0.61,0.61",19,0.00,0.42,2870000
are chai tea lattes caffeinated,Informational,70,"0.55,0.55,0.77,1.00,1.00,0.77,0.55,0.77,1.00,0.77,0.77,0.55",27,0.00,0.00,947000
benefits of vanilla chai tea,Informational,70,"0.36,0.18,0.45,0.63,0.45,0.81,0.81,1.00,0.81,0.63,0.63,0.36",27,0.00,0.04,4760000
best chai tea brands,Commercial,70,"0.02,0.05,0.02,0.07,0.10,1.00,0.23,0.28,0.28,0.02,0.07,0.10",29,0.46,1.00,33400000
best chai tea latte starbucks,Commercial,70,"0.50,0.50,0.50,0.35,0.35,0.35,0.50,0.64,0.35,1.00,1.00,0.64",28,1.12,0.06,7160000
bigelow tea spiced chai,"Informational, Transactional",70,"0.45,0.45,0.62,0.62,0.81,0.62,0.81,0.81,1.00,1.00,0.62,0.62",15,0.18,1.00,75600
bigelow vanilla chai tea caffeine,Informational,70,"0.70,0.70,0.70,0.70,1.00,0.70,0.70,1.00,1.00,1.00,1.00,0.70",16,0.00,0.25,80
bigelow vanilla chai tea ingredients,Informational,70,"0.18,0.18,0.45,0.45,0.18,1.00,1.00,1.00,1.00,1.00,0.18,0.63",18,0.00,0.29,71900
black tea vanilla chai,"Informational, Commercial",70,"0.34,0.00,0.00,0.65,0.42,0.34,0.65,0.00,0.00,0.34,0.00,1.00",19,0.15,0.96,13600000
boba chai tea,Informational,70,"0.35,0.35,0.28,0.35,1.00,0.49,0.79,0.79,0.28,0.49,0.14,0.28",15,0.41,0.09,7880000
boulder tea house chai,"Informational, Transactional",70,"0.00,0.00,0.05,1.00,0.82,0.17,0.05,0.05,0.05,0.05,0.05,0.05",21,0.00,0.17,247000
caffeine in a grande chai tea latte,Informational,70,"0.78,0.78,0.78,0.56,0.78,0.56,0.78,0.56,0.78,1.00,1.00,0.78",16,0.00,0.01,93
caffeine in bigelow vanilla chai tea,Informational,70,"0.71,0.71,0.71,0.71,1.00,0.71,0.71,1.00,1.00,1.00,1.00,0.71",16,0.00,0.25,85
calories in a skinny chai tea latte from starbucks,"Informational, Transactional",70,"0.55,0.78,1.00,0.78,1.00,0.78,0.78,1.00,0.78,1.00,0.78,1.00",15,0.00,0.01,175000
calories in skinny chai tea latte starbucks,Informational,70,"0.55,0.78,1.00,0.78,1.00,0.78,0.78,1.00,0.78,1.00,0.78,1.00",25,0.00,0.01,329000
calories in starbucks chai tea latte skinny,"Informational, Transactional",70,"0.55,0.78,1.00,0.78,1.00,0.78,0.78,1.00,0.78,1.00,0.78,1.00",20,0.00,0.01,165000
calories in tall chai tea latte starbucks,Informational,70,"0.78,1.00,1.00,0.78,1.00,0.78,1.00,1.00,1.00,0.00,0.00,0.00",16,0.63,0.04,101000
calories in tazo chai tea,Informational,70,"0.45,0.18,1.00,1.00,1.00,1.00,1.00,0.64,0.64,0.36,0.64,0.64",18,0.00,0.61,234000
calories starbucks chai tea latte skinny,"Informational, Transactional",70,"0.52,0.74,1.00,0.74,1.00,0.74,0.74,1.00,0.74,1.00,0.74,1.00",25,0.00,0.00,175000
can mormons drink chai tea,Informational,70,"0.45,0.45,0.81,0.81,0.63,0.45,0.63,0.45,0.45,1.00,0.45,0.36",20,0.00,0.00,25
carbs in starbucks chai tea latte,"Informational, Transactional",70,"0.67,0.67,0.67,0.67,1.00,0.67,0.67,0.67,0.67,0.67,0.67,0.67",29,0.72,0.02,90
cbtl chai tea latte,Informational,70,"0.64,0.64,0.82,0.64,1.00,0.64,0.64,0.64,0.82,0.82,0.64,0.64",29,0.00,0.20,970000
celestial seasonings chai tea india spice,"Informational, Transactional",70,"0.07,0.07,0.42,0.07,1.00,0.65,0.19,0.19,0.26,0.15,0.19,0.19",16,1.25,1.00,97200
chai ho jai the tea room naperville reviews,Commercial,70,"0.13,0.13,1.00,0.53,0.23,0.04,0.09,0.13,0.53,0.32,0.23,0.32",24,0.00,0.00,34
chai spice black tea,Commercial,70,"0.45,0.45,0.45,0.45,0.45,0.45,1.00,1.00,1.00,1.00,0.18,0.18",24,0.00,1.00,18500000
chai tea allergy symptoms,Informational,70,"0.56,0.56,0.78,0.78,1.00,0.56,1.00,1.00,0.78,1.00,0.56,0.78",18,0.00,0.00,49
chai tea and coffee,Informational,70,"0.45,0.45,0.63,0.45,0.63,0.63,0.63,0.63,0.45,1.00,0.18,0.18",24,0.00,0.06,58700000
chai tea at dunkin donuts,Informational,70,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00",28,0.10,0.02,1270000
chai tea bags near me,Transactional,70,"0.06,0.06,0.06,0.06,0.06,0.06,1.00,0.53,0.12,0.09,0.12,0.09",19,0.00,0.84,96
chai tea cardamom,Informational,70,"0.52,0.64,0.00,0.41,0.00,0.52,0.64,0.05,1.00,0.05,0.00,0.05",29,0.19,0.94,4840000
chai tea concentrate whole foods,"Navigational, Transactional",70,"0.17,0.17,1.00,1.00,0.81,0.64,0.64,0.81,0.64,0.64,0.64,0.64",22,1.04,0.99,
chai tea costco,Transactional,70,"0.24,1.00,0.14,0.19,0.43,0.33,0.14,0.33,0.33,0.33,0.33,0.43",28,0.00,1.00,90
chai tea cupcake recipe,Informational,70,"0.24,0.24,0.24,0.43,0.43,1.00,0.43,0.33,0.24,0.24,0.24,0.24",23,0.00,0.00,2580000
chai tea dessert recipes,Informational,70,"0.12,0.15,0.12,0.34,0.34,1.00,0.21,0.15,0.15,0.12,0.15,0.12",29,0.00,0.03,7760000
chai tea for sale,Transactional,70,"0.11,0.11,0.11,0.64,0.64,0.64,0.64,1.00,0.29,0.23,0.29,0.23",19,0.58,1.00,34300000
chai tea heb,"Navigational, Transactional",70,"0.54,0.54,0.75,0.75,1.00,0.54,0.54,0.75,0.75,0.54,0.54,0.75",24,0.00,0.94,250000
chai tea ice cream recipe,Informational,70,"1.00,1.00,1.00,0.77,1.00,0.77,0.77,0.77,0.77,0.77,0.77,1.00",16,0.00,0.00,21100000
chai tea kroger,"Informational, Transactional",70,"0.78,0.78,0.78,1.00,1.00,0.56,1.00,1.00,0.78,0.56,0.78,0.56",24,0.44,1.00,207000
chai tea latte amazon,"Informational, Transactional",70,"0.78,0.78,0.56,0.56,0.56,0.56,0.78,1.00,0.78,0.78,0.78,0.78",29,0.23,1.00,1390000
chai tea latte biggby,"Informational, Transactional",70,"0.50,0.64,0.50,0.64,0.50,0.50,0.64,0.64,0.35,0.50,0.64,1.00",21,0.00,0.00,57
chai tea latte caribou,"Informational, Transactional",70,"0.45,0.45,0.63,0.63,1.00,0.45,0.45,0.45,0.63,0.45,0.63,0.63",21,0.00,0.06,63
chai tea latte coffee bean and tea leaf,Informational,70,"0.64,0.45,0.82,0.64,1.00,0.64,0.64,0.64,0.82,0.82,0.64,0.64",15,0.00,0.20,1760000
chai tea latte costco,Transactional,70,"0.64,0.00,0.08,0.81,1.00,0.81,0.64,1.00,0.81,0.81,0.64,0.64",27,0.00,0.93,72
chai tea latte dairy free,Informational,70,"0.18,0.18,0.18,1.00,1.00,1.00,0.63,0.63,0.63,0.63,0.63,0.63",22,0.31,0.60,3990000
chai tea latte mix trader joe's,"Informational, Transactional",70,"0.66,1.00,0.00,0.52,0.52,0.33,0.42,0.00,0.00,0.00,0.33,0.42",22,0.00,0.00,153000
chai tea latte powder mix recipe,Informational,70,"0.14,0.14,0.14,0.79,0.79,0.50,1.00,0.79,0.35,0.50,0.50,0.35",18,0.00,0.29,1480000
chai tea latte scooters,Informational,70,"0.56,0.56,0.56,0.56,0.76,0.76,0.76,0.76,0.56,0.56,1.00,1.00",15,0.00,0.08,57
chai tea latte starbucks carbs,"Informational, Transactional",70,"0.55,0.55,0.79,0.79,1.00,1.00,1.00,1.00,0.79,1.00,0.79,0.10",27,0.00,0.02,95
chai tea latte tim hortons,Informational,70,"0.21,0.35,0.35,0.64,0.50,0.64,1.00,0.64,0.50,0.78,0.64,0.50",22,0.16,0.09,
chai tea masala powder recipe,Informational,70,"0.78,0.55,0.55,0.55,0.78,0.55,0.78,0.78,0.78,1.00,0.55,0.78",25,0.00,0.01,3740000
chai tea mints trader joe's,Commercial,70,"0.23,0.11,0.11,0.41,0.11,1.00,0.52,0.82,0.11,0.11,0.11,0.11",26,0.00,0.66,47
chai tea mix in a jar recipe,Informational,70,"0.45,0.36,0.36,0.45,0.62,0.62,1.00,0.45,0.62,0.62,0.36,0.45",27,0.00,0.04,2530000
chai tea nespresso pods,"Informational, Commercial",70,"0.28,0.50,0.78,0.50,0.78,0.64,0.78,1.00,0.00,0.00,0.28,0.00",20,0.35,0.91,69
chai tea pregnant,Informational,70,"0.36,0.36,0.49,0.49,1.00,0.49,0.36,0.36,0.36,0.06,0.36,0.00",17,0.00,0.00,89
chai tea publix,Informational,70,"0.58,0.58,1.00,0.83,1.00,0.83,1.00,0.58,0.58,0.42,0.17,0.58",22,0.31,0.95,136000
chai tea skinny,Commercial,70,"0.64,0.64,0.00,0.64,1.00,0.41,0.52,0.00,0.00,0.29,0.41,0.00",29,0.53,1.00,
chai tea spiderman,"Informational, Transactional",70,"0.08,0.42,0.13,0.08,0.13,0.00,0.42,0.33,0.25,0.67,1.00,1.00",23,0.00,0.00,92
chai tea sugar content,Informational,70,"0.18,0.36,0.18,1.00,1.00,1.00,0.18,1.00,0.18,1.00,0.18,0.18",23,0.00,0.04,28900000
chai tea taste like,Informational,70,"0.45,0.45,0.64,0.64,0.45,0.82,1.00,1.00,0.18,0.64,0.64,0.64",28,0.00,0.00,35500000
chai tea tazo caffeine,"Informational, Transactional",70,"0.00,0.00,0.00,1.00,0.65,0.41,0.00,0.53,0.53,0.41,0.41,0.41",16,0.00,0.45,221000
chai tea teapot,Commercial,70,"0.44,0.63,0.63,0.44,0.63,0.63,1.00,0.81,1.00,0.81,0.63,0.63",23,0.00,1.00,3400000
chai tea whiskey,Informational,70,"0.45,0.45,0.45,0.45,0.81,0.64,1.00,0.45,0.45,0.45,0.64,0.64",18,0.00,0.19,2570000
chai tea white russian,Informational,70,"0.24,0.29,0.24,0.29,0.53,0.53,1.00,0.29,0.41,0.41,0.29,0.41",15,0.00,0.02,95
chai tea whole foods,"Informational, Transactional",70,"0.00,0.66,0.00,0.80,1.00,0.00,0.80,0.14,0.80,0.00,0.04,0.19",22,1.03,1.00,13700000
chai tea with coffee,Informational,70,"0.45,0.45,0.63,0.63,0.63,0.63,0.63,0.63,0.45,1.00,0.18,0.18",23,0.00,0.06,57800000
chai tea with condensed milk,Informational,70,"0.55,0.55,0.55,0.55,0.55,0.77,0.77,0.77,0.77,1.00,0.55,0.77",16,0.00,0.01,3520000
coffee bean and tea leaf chai latte,Informational,70,"0.78,0.78,1.00,0.78,1.00,0.78,0.78,0.78,0.55,0.78,0.55,1.00",15,0.00,0.20,1150000
cold chai tea recipes,Informational,70,"1.00,1.00,1.00,1.00,0.63,0.45,0.36,0.45,0.63,0.81,0.81,1.00",27,0.00,0.01,7150000
dairy free chai tea latte,Informational,70,"0.18,0.18,0.18,1.00,1.00,0.63,0.63,0.63,0.63,0.63,0.63,0.63",15,0.31,0.60,3960000
decaf chai tea tazo,"Informational, Transactional",70,"0.33,0.00,1.00,0.33,0.42,0.33,0.66,0.00,0.33,0.00,0.33,0.33",27,0.28,1.00,99600
does chai tea have coffee,Informational,70,"0.36,0.45,0.45,1.00,1.00,1.00,0.17,0.17,0.17,1.00,0.17,0.17",27,0.00,0.00,57200000
does chai tea have milk,Informational,70,"0.67,0.67,0.67,1.00,1.00,1.00,1.00,1.00,0.67,0.67,0.67,0.67",19,0.00,0.00,45000000
does chai tea help you lose weight,Informational,70,"0.18,1.00,0.82,0.82,0.82,0.64,0.45,0.45,0.27,1.00,1.00,0.27",28,0.00,0.00,9020000
dunkin donuts iced chai tea latte,Informational,70,"1.00,0.79,0.64,0.50,0.35,0.35,0.35,0.35,0.35,0.21,0.64,0.50",27,0.00,0.00,602000
grande chai tea latte caffeine,Informational,70,"0.63,0.63,0.81,1.00,1.00,0.63,0.63,0.63,0.63,0.81,0.81,0.63",16,0.00,0.01,78
heb chai tea,"Navigational, Transactional",70,"0.44,0.44,0.63,0.81,1.00,0.63,1.00,1.00,0.27,0.44,0.44,0.44",24,0.00,0.94,97
how do you drink chai tea,Informational,70,"0.35,0.50,0.64,0.50,0.64,0.50,1.00,0.64,0.50,0.21,0.50,0.50",26,0.00,0.02,50800000
how many calories are in an iced chai tea latte,Informational,70,"0.81,1.00,0.63,1.00,0.45,0.45,0.36,0.45,0.45,0.27,0.63,0.63",24,0.00,0.00,1970000
how many calories in a venti chai tea latte,Informational,70,"0.71,0.71,1.00,0.71,1.00,1.00,0.71,1.00,1.00,1.00,1.00,0.71",17,0.00,0.00,57
how many calories in an iced chai tea latte,Informational,70,"0.81,1.00,0.63,1.00,0.45,0.45,0.36,0.45,0.45,0.27,0.63,0.45",27,0.00,0.00,1830000
how many calories in starbucks chai tea latte,Informational,70,"0.10,0.10,0.10,0.12,0.10,0.10,0.17,1.00,0.10,0.12,0.12,0.10",19,1.24,0.06,71
how many calories is a starbucks chai tea latte,Informational,70,"1.00,1.00,1.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",27,1.09,0.07,897000
how much caffeine is in a cup of chai tea,Informational,70,"0.00,0.11,0.17,0.11,0.11,0.23,1.00,1.00,0.82,1.00,0.82,0.11",24,0.00,0.00,10900000
how much caffeine is in a grande chai tea latte,Informational,70,"0.18,0.18,1.00,1.00,1.00,1.00,0.27,1.00,0.45,1.00,0.18,0.18",22,0.00,0.01,80
how much is a venti chai tea latte at starbucks,Informational,70,"0.45,0.45,0.64,0.45,0.45,0.64,0.45,0.45,1.00,0.18,0.18,1.00",26,0.51,0.05,81
how much sugar in chai tea,Informational,70,"1.00,0.56,0.78,0.56,0.78,0.56,0.78,0.78,0.78,0.56,0.56,0.56",19,0.00,0.00,38500000
how much sugar is in chai tea,Informational,70,"0.45,0.63,0.63,0.63,0.63,0.63,0.63,1.00,0.63,0.81,0.63,0.81",28,0.00,0.00,38600000
how to make chai tea latte like starbucks,Informational,70,"0.81,0.63,0.81,0.63,0.63,0.63,0.63,0.63,0.63,1.00,0.81,1.00",21,0.70,0.05,8080000
how to order chai tea latte at starbucks,Informational,70,"0.45,0.45,0.45,0.81,0.64,0.81,0.81,1.00,0.81,0.81,0.45,0.45",25,0.00,0.02,91
ice chai tea,Informational,70,"0.03,0.01,0.03,0.00,0.03,0.04,1.00,0.00,0.03,0.01,0.00,0.54",25,0.71,0.30,35700000
iced chai tea latte dunkin donuts,Informational,70,"1.00,0.78,0.64,0.50,0.35,0.35,0.35,0.35,0.35,0.21,0.64,0.50",24,0.00,0.00,592000
iced chai tea latte near me,Transactional,70,"1.00,1.00,0.82,0.64,0.45,0.45,0.45,0.45,0.64,0.64,0.36,0.45",28,0.00,0.09,72
iced pumpkin cream chai tea latte starbucks,Informational,70,"0.13,0.27,0.80,1.00,1.00,0.13,0.13,1.00,1.00,1.00,0.13,0.60",21,0.00,0.00,926000
indian chai tea near me,Transactional,70,"0.81,1.00,1.00,0.27,0.63,0.45,0.45,0.45,0.45,0.63,1.00,0.63",24,0.00,0.46,90
is chai tea caffeine free,Informational,70,"0.36,0.36,0.36,0.64,0.79,0.64,0.64,1.00,0.64,0.64,0.36,0.49",15,0.00,0.03,11200000
is chai tea sweet,Informational,70,"0.42,0.42,0.42,0.83,0.42,0.83,0.83,0.83,0.17,1.00,0.58,0.83",25,0.00,0.00,44400000
is there caffeine in starbucks chai tea,Informational,70,"0.34,0.26,0.26,0.34,0.26,0.42,0.03,0.00,0.00,0.53,1.00,0.42",21,0.00,0.01,3520000
is vanilla chai tea healthy,Informational,70,"0.50,0.50,0.50,0.35,0.64,0.35,0.50,1.00,0.64,0.21,0.50,0.50",27,0.00,0.02,14600000
jaipur chai tea,Navigational,70,"0.45,0.63,0.63,0.81,1.00,0.63,0.81,0.45,0.63,0.63,0.45,0.45",17,0.00,0.92,5350000
keurig chai tea latte pods,"Informational, Transactional",70,"0.29,0.29,0.29,0.18,0.41,0.29,0.65,1.00,0.83,0.65,0.41,0.41",19,0.63,1.00,125000
liquid chai tea,Transactional,70,"0.05,0.05,0.05,0.05,0.28,1.00,0.10,0.12,0.10,0.10,0.10,0.10",19,0.52,1.00,10200000
loose leaf chai tea recipe,Informational,70,"0.27,0.45,0.45,0.82,0.64,0.82,1.00,0.64,0.64,0.82,0.18,0.18",17,0.00,0.28,2370000
my chai tea recall,Informational,70,"0.00,0.00,0.00,0.00,0.00,1.00,0.03,0.03,0.03,0.03,0.03,0.03",22,0.00,0.00,47
mystic chai tea discontinued where to buy,Transactional,70,"0.09,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.45,0.45,0.36,0.36",18,0.00,0.60,27
nespresso chai tea,Informational,70,"0.09,0.09,0.09,0.09,0.09,0.09,1.00,0.66,0.80,0.80,0.33,0.23",27,0.49,1.00,80
nespresso chai tea pods vertuo,Informational,70,"0.19,0.19,0.23,0.23,0.23,0.80,1.00,0.52,0.33,0.33,0.33,0.19",28,0.24,0.91,62
nutrition starbucks chai tea latte,"Informational, Transactional",70,"0.00,0.00,1.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.00",20,0.95,0.10,360000
pink chai tea,Informational,70,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,1.00,1.00,1.00,0.64",28,0.53,0.92,38500000
pre made chai tea,Commercial,70,"0.00,0.00,0.81,1.00,1.00,0.81,0.81,0.27,0.63,0.45,0.81,0.00",16,0.76,1.00,8140000
recipe for chai tea mix,Informational,70,"0.36,0.36,0.17,0.45,0.62,0.81,1.00,0.81,0.62,1.00,0.62,0.36",20,0.14,0.05,24300000
sam's club chai tea,Navigational,70,"0.78,0.78,0.78,1.00,1.00,0.78,0.78,0.00,0.55,0.55,0.78,0.78",24,0.13,1.00,51
skinny chai tea latte calories starbucks,Informational,70,"0.64,0.45,0.64,0.45,0.64,0.64,0.64,0.82,1.00,0.64,0.64,0.82",24,0.00,0.01,60300
skinny chai tea latte starbucks calories,Informational,70,"0.43,0.61,0.82,0.61,0.82,0.61,0.61,0.82,0.43,1.00,0.61,0.82",21,0.00,0.00,94
spider verse chai tea,Commercial,70,"0.12,0.06,0.06,0.06,0.06,0.06,0.06,0.34,1.00,0.43,0.34,0.34",27,0.00,0.00,81400
spiderverse chai tea,Commercial,70,"0.23,0.11,0.11,0.11,0.11,0.11,1.00,0.64,0.64,0.64,0.64,0.64",23,0.00,0.00,41000
starbucks calories chai tea latte skinny,"Informational, Transactional",70,"0.78,0.55,0.78,0.55,0.78,0.78,0.78,1.00,0.55,0.78,0.55,0.78",21,0.00,0.01,130000
starbucks chai tea frappuccino,Informational,70,"0.23,0.23,0.17,0.52,0.52,0.41,0.64,0.52,0.64,0.41,1.00,0.29",23,0.00,0.01,2040000
starbucks chai tea latte mix,"Informational, Commercial",70,"0.29,0.29,0.52,1.00,0.64,0.29,0.41,0.29,0.52,0.52,0.41,0.41",21,0.31,0.87,1720000
starbucks chai tea latte with almond milk calories,Informational,70,"0.62,0.44,0.82,0.62,0.62,0.62,0.62,1.00,0.62,0.62,1.00,0.62",19,0.00,0.00,67
starbucks grande chai tea latte,Informational,70,"0.18,0.18,0.18,1.00,1.00,0.63,0.81,0.81,0.81,0.63,0.81,0.81",28,0.58,0.07,723000
starbucks iced chai tea recipe,Informational,70,"0.77,0.77,1.00,1.00,0.55,0.55,0.55,0.55,0.55,0.77,0.55,0.11",28,0.00,0.00,6220000
starbucks pumpkin chai tea,Informational,70,"0.00,0.00,0.65,1.00,0.65,0.35,0.00,0.00,0.79,0.79,0.79,1.00",24,0.00,0.03,2880000
starbucks skinny chai tea latte nutrition,"Informational, Transactional",70,"0.56,0.78,1.00,0.78,1.00,0.78,0.78,1.00,0.78,1.00,0.78,1.00",28,0.00,0.01,137000
